age,gender,interest,Spentperclick,Clicks,Impressions,Total_Conversion
3.3579757448351746,2.736687425033085,3.8049162123965274,1.429999948,1,7350,2
3.3579757448351746,2.736687425033085,2.9351464045717686,0.910000012,2,17861,2
3.3579757448351746,2.736687425033085,2.6371128608923886,0.0,0,693,1
3.3579757448351746,2.736687425033085,2.862608520088835,1.25,1,4259,1
3.3579757448351746,2.736687425033085,2.862608520088835,1.289999962,1,4133,1
3.3579757448351746,2.736687425033085,3.9596877313412744,0.0,0,1915,1
3.3579757448351746,2.736687425033085,3.8049162123965274,1.589999994,3,15615,1
3.3579757448351746,2.736687425033085,2.9351464045717686,1.269999981,1,10951,1
3.3579757448351746,2.736687425033085,3.981240049911794,1.5,1,2355,1
3.3579757448351746,2.736687425033085,2.862608520088835,1.053333322,3,9502,1
3.3579757448351746,2.736687425033085,1.3790631940238238,0.0,0,1224,1
3.3579757448351746,2.736687425033085,2.474225721784777,0.0,0,735,1
3.3579757448351746,2.736687425033085,2.9351464045717686,0.0,0,5117,1
3.3579757448351746,2.736687425033085,2.9351464045717686,0.0,0,5120,1
3.3579757448351746,2.736687425033085,2.6371128608923886,1.468571459,7,14669,1
3.3579757448351746,2.736687425033085,2.862608520088835,0.0,0,1241,1
3.3579757448351746,2.736687425033085,1.7636785786392084,0.5699999929999999,1,2305,1
3.3579757448351746,2.736687425033085,1.3790631940238238,0.0,0,1024,1
2.5255246708619254,2.736687425033085,3.8049162123965274,1.6900000569999998,1,4627,1
2.5255246708619254,2.736687425033085,2.9351464045717686,1.1575000290000002,4,21026,2
2.5255246708619254,2.736687425033085,3.8049162123965274,0.0,0,1422,1
2.5255246708619254,2.736687425033085,3.8049162123965274,1.304999948,2,7132,1
2.5255246708619254,2.736687425033085,2.9351464045717686,1.524999976,2,12190,1
2.5255246708619254,2.736687425033085,2.9351464045717686,1.529999972,2,12193,1
2.5255246708619254,2.736687425033085,2.9351464045717686,0.0,0,3332,1
